Symbol,OHLC Code,Type,Link
FXFWD-2302-XZQJ2MNZ,USD/CHF 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27958'>27958</a>
FXFWD-2302-YADRQLC9,EUR/USD 02/09/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/27959'>27959</a>
FXFWD-2303-CJ8VTJFG,EUR/USD 02/28/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28861'>28861</a>
FXFWD-2303-DG5SRLJK,EUR/USD 02/28/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28862'>28862</a>
FXFWD-2303-OM9EA3IU,EUR/USD 03/28/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28863'>28863</a>
FXFWD-2303-YGZVD1IB,EUR/USD 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28864'>28864</a>
FXFWD-2304-CYNZ29F4,USD/CHF 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28689'>28689</a>
FXFWD-2304-HIN1NIA9,EUR/USD 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28690'>28690</a>
FXFWD-2304-IWOMRG3X,USD/CHF 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28753'>28753</a>
FXFWD-2304-TO0JL02N,EUR/USD 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28873'>28873</a>
FXFWD-2304-UK22SFGT,EUR/USD 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28754'>28754</a>
FXFWD-2304-XJ1PV96Z,EUR/USD 04/14/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28755'>28755</a>
FXFWD-2304-YTMN4SA1,USD/CHF 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/28756'>28756</a>
FXFWD-2305-MTGS020O,EUR/USD 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29119'>29119</a>
FXFWD-2306-ARGZRBI7,EUR/USD 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29321'>29321</a>
FXFWD-2306-JILZ5480,USD/CHF 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29322'>29322</a>
FXFWD-2306-ML2LXO4E,EUR/USD 09/19/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29323'>29323</a>
FXFWD-2306-OIIJ0O6T,EUR/USD 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29324'>29324</a>
FXFWD-2306-RDAIH80U,EUR/USD 07/04/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29482'>29482</a>
FXFWD-2306-WKXHVYFL,EUR/USD 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29483'>29483</a>
FXFWD-2306-YXKIA2K1,USD/CHF 06/20/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/29325'>29325</a>
FXFWD-2308-SJ65KRB7,USD/CHF 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30079'>30079</a>
FXFWD-2308-VWWBCSIQ,EUR/USD 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30080'>30080</a>
FXFWD-2309-CX6PJO28,EUR/USD 09/26/2023 Curncy,FXFWD,<a href='https://ucapbh.decafhub.com/resource/details/30392'>30392</a>
